country,sex,age_group,year,incidence_of_long_term_unemployment
alb,mf,total,2009,65.5
alb,mf,youth,2009,53.29999923706055
alb,mf,adult,2009,71.0999984741211
alb,m,total,2009,64.19999694824219
alb,m,youth,2009,58.599998474121094
alb,m,adult,2009,66.9000015258789
alb,f,total,2009,66.69999694824219
alb,f,youth,2009,47.400001525878906
alb,f,adult,2009,74.9000015258789
alb,mf,total,2011,74.0
alb,mf,youth,2011,58.29999923706055
alb,mf,adult,2011,80.5999984741211
alb,m,total,2011,73.0
alb,m,youth,2011,63.20000076293945
alb,m,adult,2011,78.30000305175781
alb,f,total,2011,75.0999984741211
alb,f,youth,2011,49.400001525878906
alb,f,adult,2011,82.9000015258789
alb,mf,total,2012,77.30000305175781
alb,mf,youth,2012,65.80000305175781
alb,mf,adult,2012,82.4000015258789
alb,m,total,2012,75.30000305175781
alb,m,youth,2012,67.5
alb,m,adult,2012,79.69999694824219
alb,f,total,2012,80.4000015258789
alb,f,youth,2012,61.900001525878906
alb,f,adult,2012,85.9000015258789
alb,mf,total,2013,72.5999984741211
alb,mf,youth,2013,61.599998474121094
alb,mf,adult,2013,76.0
alb,m,total,2013,69.69999694824219
alb,m,youth,2013,62.20000076293945
alb,m,adult,2013,72.19999694824219
alb,f,total,2013,77.5999984741211
alb,f,youth,2013,60.29999923706055
alb,f,adult,2013,81.9000015258789
dza,mf,total,2011,71.4000015258789
dza,m,total,2011,74.9000015258789
dza,f,total,2011,63.599998474121094
arg,mf,total,2004,33.400001525878906
arg,m,total,2004,28.299999237060547
arg,f,total,2004,38.400001525878906
arg,mf,total,2005,32.29999923706055
arg,m,total,2005,28.299999237060547
arg,f,total,2005,36.20000076293945
arg,mf,total,2008,27.799999237060547
arg,m,total,2008,23.700000762939453
arg,f,total,2008,31.5
arg,mf,total,2009,25.5
arg,mf,youth,2009,21.700000762939453
arg,mf,adult,2009,28.0
arg,m,total,2009,19.299999237060547
arg,m,youth,2009,17.600000381469727
arg,m,adult,2009,20.5
arg,f,total,2009,32.400001525878906
arg,f,youth,2009,27.0
