country,sex,age_group,year,labour_force_000
alb,mf,total,2009,1345.75
alb,mf,youth,2009,214.6479949951172
alb,mf,adult,2009,1131.10205078125
alb,m,total,2009,755.06298828125
alb,m,youth,2009,116.64900207519531
alb,m,adult,2009,638.4140014648438
alb,f,total,2009,590.6829833984375
alb,f,youth,2009,97.99800109863281
alb,f,adult,2009,492.68499755859375
alb,mf,total,2011,1349.0240478515625
alb,mf,youth,2011,234.6020050048828
alb,mf,adult,2011,1114.4219970703125
alb,m,total,2011,751.1240234375
alb,m,youth,2011,140.781005859375
alb,m,adult,2011,610.343017578125
alb,f,total,2011,597.9000244140625
alb,f,youth,2011,93.82099914550781
alb,f,adult,2011,504.0790100097656
alb,mf,total,2012,1290.5589599609375
alb,mf,youth,2012,190.58900451660156
alb,mf,adult,2012,1099.969970703125
alb,m,total,2012,732.5120239257812
alb,m,youth,2012,120.18099975585938
alb,m,adult,2012,612.3309936523438
alb,f,total,2012,558.0469970703125
alb,f,youth,2012,70.40799713134766
alb,f,adult,2012,487.6390075683594
alb,mf,total,2013,1175.9189453125
alb,mf,youth,2013,142.45700073242188
alb,mf,adult,2013,1033.4620361328125
alb,m,total,2013,662.0969848632812
alb,m,youth,2013,91.05500030517578
alb,m,adult,2013,571.0419921875
alb,f,total,2013,513.822021484375
alb,f,youth,2013,51.402000427246094
alb,f,adult,2013,462.4200134277344
dza,mf,total,2011,10662.0
dza,m,total,2011,8777.0
dza,f,total,2011,1885.0
arg,mf,total,2004,10740.0498046875
arg,m,total,2004,6110.06103515625
arg,f,total,2004,4629.98876953125
arg,mf,total,2005,10737.6103515625
arg,m,total,2005,6089.2861328125
arg,f,total,2005,4648.3232421875
arg,mf,total,2008,11187.0
arg,m,total,2008,
arg,f,total,2008,
arg,mf,total,2009,11350.259765625
arg,mf,youth,2009,1793.7750244140625
arg,mf,adult,2009,9556.48828125
arg,m,total,2009,6502.9599609375
arg,m,youth,2009,1094.5589599609375
arg,m,adult,2009,5408.40087890625
arg,f,total,2009,4847.30322265625
arg,f,youth,2009,699.2160034179688
arg,f,adult,2009,4148.0869140625
arg,mf,total,2010,11412.259765625
arg,m,total,2010,6585.2490234375
arg,f,total,2010,4827.0087890625
arg,mf,total,2011,11598.4501953125
arg,m,total,2011,6745.337890625
arg,f,total,2011,4853.11083984375
arg,mf,total,2012,11686.9599609375
arg,m,total,2012,6742.244140625
arg,f,total,2012,4944.72216796875
arg,mf,total,2013,11779.1201171875
arg,m,total,2013,6812.85791015625
arg,f,total,2013,4966.2587890625
arm,mf,total,2009,1418.7750244140625
arm,mf,youth,2009,184.63299560546875
arm,mf,adult,2009,1234.1419677734375
arm,m,total,2009,750.6430053710938
arm,m,youth,2009,104.27799987792969
arm,m,adult,2009,646.364990234375
arm,f,total,2009,668.1320190429688
arm,f,youth,2009,80.3550033569336
arm,f,adult,2009,587.7769775390625
arm,mf,total,2010,1463.3409423828125
arm,mf,youth,2010,197.03399658203125
arm,mf,adult,2010,1266.3070068359375
arm,m,total,2010,777.2210083007812
arm,m,youth,2010,112.04399871826172
arm,m,adult,2010,665.177001953125
arm,f,total,2010,686.1199951171875
arm,f,youth,2010,84.98999786376953
arm,f,adult,2010,601.1300048828125
arm,mf,total,2011,1440.8690185546875
arm,mf,youth,2011,185.9250030517578
arm,mf,adult,2011,1254.9439697265625
arm,mf,total,2012,1418.27197265625
arm,mf,youth,2012,172.5189971923828
arm,mf,adult,2012,1245.7530517578125
abw,mf,total,1994,38.40999984741211
abw,m,total,1994,22.18000030517578
abw,f,total,1994,16.25
abw,mf,total,1997,44.84000015258789
abw,m,total,1997,25.179000854492188
abw,f,total,1997,19.660999298095703
aus,mf,total,1980,6692.880859375
aus,mf,youth,1980,1837.0970458984375
aus,mf,adult,1980,4855.7841796875
aus,m,total,1980,4211.22314453125
aus,m,youth,1980,1001.2979736328125
aus,m,adult,1980,3209.925048828125
aus,f,total,1980,2481.657958984375
aus,f,youth,1980,835.7990112304688
aus,f,adult,1980,1645.8590087890625
aus,mf,total,1981,6810.33984375
aus,mf,youth,1981,1854.72900390625
aus,mf,adult,1981,4955.61083984375
aus,m,total,1981,4278.8681640625
aus,m,youth,1981,1018.2520141601562
aus,m,adult,1981,3260.615966796875
aus,f,total,1981,2531.471923828125
aus,f,youth,1981,836.4769897460938
aus,f,adult,1981,1694.9949951171875
aus,mf,total,1982,6909.81591796875
aus,mf,youth,1982,1858.3690185546875
aus,mf,adult,1982,5051.44677734375
aus,m,total,1982,4332.77197265625
aus,m,youth,1982,1017.9340209960938
aus,m,adult,1982,3314.837890625
aus,f,total,1982,2577.0439453125
aus,f,youth,1982,840.4349975585938
aus,f,adult,1982,1736.6090087890625
aus,mf,total,1983,6997.4091796875
aus,mf,youth,1983,1855.0550537109375
aus,mf,adult,1983,5142.35400390625
aus,m,total,1983,4371.60693359375
aus,m,youth,1983,1004.9749755859375
aus,m,adult,1983,3366.632080078125
aus,f,total,1983,2625.802001953125
aus,f,youth,1983,850.0800170898438
aus,f,adult,1983,1775.7220458984375
aus,mf,total,1984,7135.06591796875
aus,mf,youth,1984,1853.7230224609375
aus,mf,adult,1984,5281.3427734375
aus,m,total,1984,4426.93603515625
aus,m,youth,1984,998.9310302734375
aus,m,adult,1984,3428.0048828125
aus,f,total,1984,2708.1298828125
aus,f,youth,1984,854.7919921875
aus,f,adult,1984,1853.3380126953125
aus,mf,total,1985,7300.291015625
aus,mf,youth,1985,1871.123046875
aus,mf,adult,1985,5429.16796875
aus,m,total,1985,4482.30517578125
aus,m,youth,1985,1004.0960083007812
aus,m,adult,1985,3478.208984375
aus,f,total,1985,2817.986083984375
aus,f,youth,1985,867.0269775390625
aus,f,adult,1985,1950.958984375
aus,mf,total,1986,7587.60986328125
aus,mf,youth,1986,1913.0899658203125
aus,mf,adult,1986,5674.52001953125
aus,m,total,1986,4586.0478515625
aus,m,youth,1986,1020.9929809570312
aus,m,adult,1986,3565.054931640625
aus,f,total,1986,3001.56201171875
aus,f,youth,1986,892.0969848632812
aus,f,adult,1986,2109.465087890625
aus,mf,total,1987,7757.59423828125
aus,mf,youth,1987,1914.4610595703125
aus,mf,adult,1987,5843.1328125
aus,m,total,1987,4652.0
aus,m,youth,1987,1017.3699951171875
aus,m,adult,1987,3634.6298828125
aus,f,total,1987,3105.593994140625
aus,f,youth,1987,897.0910034179688
aus,f,adult,1987,2208.5029296875
aus,mf,total,1988,7974.4609375
aus,mf,youth,1988,1923.47802734375
aus,mf,adult,1988,6050.98291015625
aus,m,total,1988,4744.48486328125
aus,m,youth,1988,1024.2060546875
aus,m,adult,1988,3720.279052734375
aus,f,total,1988,3229.97607421875
aus,f,youth,1988,899.27197265625
aus,f,adult,1988,2330.7041015625
aus,mf,total,1989,8227.8349609375
aus,mf,youth,1989,1962.14794921875
aus,mf,adult,1989,6265.68701171875
aus,m,total,1989,4842.47998046875
aus,m,youth,1989,1037.81103515625
aus,m,adult,1989,3804.6689453125
aus,f,total,1989,3385.35498046875
aus,f,youth,1989,924.3369750976562
aus,f,adult,1989,2461.01806640625
aus,mf,total,1990,8443.62109375
aus,mf,youth,1990,1970.5679931640625
aus,mf,adult,1990,6473.05322265625
aus,m,total,1990,4932.498046875
aus,m,youth,1990,1041.2509765625
aus,m,adult,1990,3891.2470703125
aus,f,total,1990,3511.123046875
aus,f,youth,1990,929.3170166015625
aus,f,adult,1990,2581.805908203125
aus,mf,total,1991,8483.146484375
aus,mf,youth,1991,1904.6800537109375
aus,mf,adult,1991,6578.4658203125
aus,m,total,1991,4937.7470703125
aus,m,youth,1991,1004.35302734375
aus,m,adult,1991,3933.39404296875
aus,f,total,1991,3545.39892578125
aus,f,youth,1991,900.3270263671875
aus,f,adult,1991,2645.072021484375
aus,mf,total,1992,8551.931640625
aus,mf,youth,1992,1891.884033203125
aus,mf,adult,1992,6660.0478515625
aus,m,total,1992,4963.55810546875
aus,m,youth,1992,997.489990234375
aus,m,adult,1992,3966.068115234375
aus,f,total,1992,3588.3740234375
aus,f,youth,1992,894.3939819335938
aus,f,adult,1992,2693.97998046875
aus,mf,total,1993,8587.140625
aus,mf,youth,1993,1861.43896484375
aus,mf,adult,1993,6725.7021484375
aus,m,total,1993,4976.01904296875
aus,m,youth,1993,983.614990234375
aus,m,adult,1993,3992.404052734375
aus,f,total,1993,3611.1220703125
aus,f,youth,1993,877.823974609375
aus,f,adult,1993,2733.298095703125
aus,mf,total,1994,8749.6328125
aus,mf,youth,1994,1895.9959716796875
aus,mf,adult,1994,6853.63720703125
aus,m,total,1994,5034.8310546875
aus,m,youth,1994,993.9420166015625
aus,m,adult,1994,4040.888916015625
aus,f,total,1994,3714.802001953125
aus,f,youth,1994,902.0540161132812
aus,f,adult,1994,2812.748046875
aus,mf,total,1995,8946.5126953125
aus,mf,youth,1995,1909.490966796875
aus,mf,adult,1995,7037.02099609375
aus,m,total,1995,5112.22607421875
aus,m,youth,1995,996.2540283203125
aus,m,adult,1995,4115.97216796875
aus,f,total,1995,3834.287109375
aus,f,youth,1995,913.2369995117188
aus,f,adult,1995,2921.050048828125
aus,mf,total,1996,9070.44140625
aus,mf,youth,1996,1891.384033203125
aus,mf,adult,1996,7179.05810546875
aus,m,total,1996,5165.783203125
aus,m,youth,1996,987.655029296875
aus,m,adult,1996,4178.1279296875
aus,f,total,1996,3904.657958984375
aus,f,youth,1996,903.72900390625
