country,sex,age_group,year,long_term_unemployed_thousands
alb,mf,total,2009,121.2490005493164
alb,mf,youth,2009,31.09000015258789
alb,mf,adult,2009,90.15899658203125
alb,m,total,2009,58.87799835205078
alb,m,youth,2009,17.929000854492188
alb,m,adult,2009,40.94900131225586
alb,f,total,2009,62.37099838256836
alb,f,youth,2009,13.16100025177002
alb,f,adult,2009,49.209999084472656
alb,mf,total,2011,139.46299743652344
alb,mf,youth,2011,32.65999984741211
alb,mf,adult,2011,106.8030014038086
alb,m,total,2011,74.6500015258789
alb,m,youth,2011,22.722999572753906
alb,m,adult,2011,51.926998138427734
alb,f,total,2011,64.81300354003906
alb,f,youth,2011,9.937000274658203
alb,f,adult,2011,54.875999450683594
alb,mf,total,2012,134.0570068359375
alb,mf,youth,2012,35.055999755859375
alb,mf,adult,2012,99.0009994506836
alb,m,total,2012,79.89099884033203
alb,m,youth,2012,25.488000869750977
alb,m,adult,2012,54.402000427246094
alb,f,total,2012,54.16600036621094
alb,f,youth,2012,9.567000389099121
alb,f,adult,2012,44.597999572753906
alb,mf,total,2013,133.53399658203125
alb,mf,youth,2013,26.533000946044922
alb,mf,adult,2013,107.00199890136719
alb,m,total,2013,80.89299774169922
alb,m,youth,2013,18.437999725341797
alb,m,adult,2013,62.45500183105469
alb,f,total,2013,52.64099884033203
alb,f,youth,2013,8.095000267028809
alb,f,adult,2013,44.54600143432617
dza,mf,total,2011,758.0
dza,m,total,2011,553.0
dza,f,total,2011,206.0
arg,mf,total,2004,482.9280090332031
arg,m,total,2004,203.83599853515625
arg,f,total,2004,279.0920104980469
arg,mf,total,2005,400.0679931640625
arg,m,total,2005,174.4080047607422
arg,f,total,2005,225.66000366210938
arg,mf,total,2008,242.91200256347656
arg,m,total,2008,98.39099884033203
arg,f,total,2008,144.52099609375
arg,mf,total,2009,263.2409973144531
arg,mf,youth,2009,88.0739974975586
arg,mf,adult,2009,175.16700744628906
arg,m,total,2009,104.23500061035156
arg,m,youth,2009,40.08399963378906
arg,m,adult,2009,64.1510009765625
arg,f,total,2009,159.00599670410156
arg,f,youth,2009,47.9900016784668
arg,f,adult,2009,111.01599884033203
arg,mf,total,2010,242.1699981689453
arg,m,total,2010,98.63899993896484
arg,f,total,2010,143.531005859375
arg,mf,total,2011,217.95399475097656
arg,m,total,2011,90.91500091552734
arg,f,total,2011,127.03900146484375
arg,mf,total,2012,234.6929931640625
arg,m,total,2012,96.46600341796875
arg,f,total,2012,138.22799682617188
arg,mf,total,2013,222.0659942626953
arg,m,total,2013,96.45700073242188
arg,f,total,2013,125.61000061035156
arm,mf,total,2009,111.49600219726562
arm,mf,youth,2009,22.683000564575195
