country,sex,age_group,year,long_term_unemployment_rate
alb,mf,total,2009,9.0
alb,mf,youth,2009,14.5
alb,mf,adult,2009,8.0
alb,m,total,2009,7.800000190734863
alb,m,youth,2009,15.399999618530273
alb,m,adult,2009,6.400000095367432
alb,f,total,2009,10.600000381469727
alb,f,youth,2009,13.399999618530273
alb,f,adult,2009,10.0
alb,mf,total,2011,10.300000190734863
alb,mf,youth,2011,13.899999618530273
alb,mf,adult,2011,9.600000381469727
alb,m,total,2011,9.899999618530273
alb,m,youth,2011,16.100000381469727
alb,m,adult,2011,8.5
alb,f,total,2011,10.800000190734863
alb,f,youth,2011,10.600000381469727
alb,f,adult,2011,10.899999618530273
alb,mf,total,2012,10.399999618530273
alb,mf,youth,2012,18.399999618530273
alb,mf,adult,2012,9.0
alb,m,total,2012,10.899999618530273
alb,m,youth,2012,21.200000762939453
alb,m,adult,2012,8.899999618530273
alb,f,total,2012,9.699999809265137
alb,f,youth,2012,13.600000381469727
alb,f,adult,2012,9.100000381469727
alb,mf,total,2013,11.399999618530273
alb,mf,youth,2013,18.600000381469727
alb,mf,adult,2013,10.399999618530273
alb,m,total,2013,12.199999809265137
alb,m,youth,2013,20.200000762939453
alb,m,adult,2013,10.899999618530273
alb,f,total,2013,10.199999809265137
alb,f,youth,2013,15.699999809265137
alb,f,adult,2013,9.600000381469727
dza,mf,total,2011,7.099999904632568
dza,m,total,2011,6.300000190734863
dza,f,total,2011,10.899999618530273
arg,mf,total,2004,4.5
arg,m,total,2004,3.299999952316284
arg,f,total,2004,6.0
arg,mf,total,2005,3.700000047683716
arg,m,total,2005,2.9000000953674316
arg,f,total,2005,4.900000095367432
arg,mf,total,2008,2.200000047683716
arg,m,total,2008,
arg,f,total,2008,
arg,mf,total,2009,2.299999952316284
arg,mf,youth,2009,4.900000095367432
arg,mf,adult,2009,1.7999999523162842
arg,m,total,2009,1.600000023841858
arg,m,youth,2009,3.700000047683716
arg,m,adult,2009,1.2000000476837158
arg,f,total,2009,3.299999952316284
arg,f,youth,2009,6.900000095367432
arg,f,adult,2009,2.700000047683716
arg,mf,total,2010,2.0999999046325684
arg,m,total,2010,1.5
arg,f,total,2010,3.0
arg,mf,total,2011,1.899999976158142
arg,m,total,2011,1.2999999523162842
arg,f,total,2011,2.5999999046325684
arg,mf,total,2012,2.0
arg,m,total,2012,1.399999976158142
arg,f,total,2012,2.799999952316284
arg,mf,total,2013,1.899999976158142
arg,m,total,2013,1.399999976158142
arg,f,total,2013,2.5
arm,mf,total,2009,7.900000095367432
arm,mf,youth,2009,12.300000190734863
arm,mf,adult,2009,7.199999809265137
arm,m,total,2009,6.199999809265137
arm,m,youth,2009,9.600000381469727
arm,m,adult,2009,5.699999809265137
arm,f,total,2009,9.699999809265137
arm,f,youth,2009,15.699999809265137
arm,f,adult,2009,8.899999618530273
