country,sex,age_group,year,total_unemployed_000
alb,mf,total,2009,185.20599365234375
alb,mf,youth,2009,58.323001861572266
alb,mf,adult,2009,126.88300323486328
alb,m,total,2009,91.76399993896484
alb,m,youth,2009,30.570999145507812
alb,m,adult,2009,61.19300079345703
alb,f,total,2009,93.44000244140625
alb,f,youth,2009,27.75200080871582
alb,f,adult,2009,65.68800354003906
alb,mf,total,2011,188.5469970703125
alb,mf,youth,2011,56.060001373291016
alb,mf,adult,2011,132.48699951171875
alb,m,total,2011,102.26599884033203
alb,m,youth,2011,35.95199966430664
alb,m,adult,2011,66.31400299072266
alb,f,total,2011,86.28199768066406
alb,f,youth,2011,20.107999801635742
alb,f,adult,2011,66.1729965209961
alb,mf,total,2012,173.4199981689453
alb,mf,youth,2012,53.24700164794922
alb,mf,adult,2012,120.1729965209961
alb,m,total,2012,106.05899810791016
alb,m,youth,2012,37.78200149536133
alb,m,adult,2012,68.2770004272461
alb,f,total,2012,67.36100006103516
alb,f,youth,2012,15.46500015258789
alb,f,adult,2012,51.895999908447266
alb,mf,total,2013,183.88999938964844
alb,mf,youth,2013,43.06399917602539
alb,mf,adult,2013,140.8249969482422
alb,m,total,2013,116.08799743652344
alb,m,youth,2013,29.631000518798828
alb,m,adult,2013,86.45800018310547
alb,f,total,2013,67.8010025024414
alb,f,youth,2013,13.434000015258789
alb,f,adult,2013,54.36800003051758
dza,mf,total,2011,1062.0
dza,m,total,2011,738.0
dza,f,total,2011,324.0
arg,mf,total,2004,1447.116943359375
arg,m,total,2004,719.802001953125
arg,f,total,2004,727.3159790039062
arg,mf,total,2005,1238.5069580078125
arg,m,total,2005,615.5059814453125
arg,f,total,2005,623.0009765625
arg,mf,total,2008,874.1840209960938
arg,m,total,2008,415.17401123046875
arg,f,total,2008,459.010009765625
arg,mf,total,2009,1030.6240234375
arg,mf,youth,2009,405.7569885253906
arg,mf,adult,2009,624.8670043945312
arg,m,total,2009,540.2529907226562
arg,m,youth,2009,227.92999267578125
arg,m,adult,2009,312.322998046875
arg,f,total,2009,490.3710021972656
